id_prkapita,id_kab_kota,pengeluaran_2010,pengeluaran_2011,pengeluaran_2012,pengeluaran_2013,pengeluaran_2014,pengeluaran_2015,pengeluaran_2016,pengeluaran_2017,pengeluaran_2018,pengeluaran_2019,pengeluaran_2020,pengeluaran_2021,pengeluaran_2022,pengeluaran_2023,pengeluaran_2024
PRKAPITA419,419,6670,6703,6803,6879,6955,7033,7228,7457,7783,8083,8097,8134,8494,8871,9292
PRKAPITA420,420,14746,14842,14907,14947,15079,15669,16013,16367,16597,16989,16873,17097,17406,17889,18386
PRKAPITA421,421,12071,12259,12419,12554,12692,12817,12966,13078,13303,13648,13663,13786,14027,14495,14928
PRKAPITA422,422,11252,11372,11493,11590,11713,12005,12156,12319,12662,12986,12995,13117,13404,13892,14369
PRKAPITA423,423,6217,6356,6498,6643,6660,6829,6950,7117,7209,7366,7307,7324,7594,7995,8401
PRKAPITA424,424,6758,6892,7072,7592,7666,7742,7928,8000,8098,8253,8203,8218,8328,8703,9107
PRKAPITA425,425,8793,8846,8917,9320,9396,9471,9696,9857,10004,10200,10126,10151,10552,10963,11415
PRKAPITA426,426,10804,10971,11160,11683,11699,11942,12072,12243,12384,12525,12515,12525,12639,13055,13534
PRKAPITA427,427,7428,7581,7703,8217,8301,8386,8660,8798,8914,9115,9037,9059,9347,9753,10250
PRKAPITA428,428,6662,6721,6781,7173,7236,7392,7607,7908,8190,8344,8234,8310,8680,9132,9692
PRKAPITA429,429,7648,7739,7850,8295,8306,8484,8651,8800,9136,9388,9204,9280,9758,10240,10739
